Orden,Labor Description,Surcursal,Link Typeform,Location,Experience,Education,Description,Numero consecutivo
021601,ANALISTA DE LABORATORIO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Industria farmacéutica,Bachillerato completado en Biología o Química,"Conocimiento en GMP, FDA, HPLC, GLP, EPA, validación]Disponibilidad 1ro y 2do turno]Enviar resume a: anais.galan@ctpsr.com]",1
021840,TECNICO(A)DE MANTENIMIENTO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Técnico(a) de mantenimiento,"Grado Asociado en electrónica, electricidad","Disponibilidad completa 1ro, 2do y 3er turno]Enviar resume a: anais.galan@ctspr.com]",2
021887,OPERADOR(A)FARMACEUTICO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Industria farmacéutica,Bachillerato completado en Biología o Química,"Disponibilidad 1ro, 2do y 3er turno]Enviar resume a: anais.galan@ctspr.com]",3
021872,REPRESENTANTE DE SERVICIO AL CLIENTE,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,Servicio al cliente y centro de llamadas,Grado técnico en Sistemas de Oficinas o similar,Dominio de computadoras y programas de Microsoft]Excelentes destrezas de comunicación oral y escrita]Inglés intermedio]Excelentes destrezas de negociación]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: warren.rodriguez@ctspr.com],4
021873,ARTISTA GRAFICO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,Diseño gráfico,Asociado en Diseño Gráfico,"Conocimiento en Adobe Creative Cloud]Conocimiento en fotografía, video y WordPress]Bilingüe]Excelentes destrezas de comunicación oral y escrita]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: warren.rodriguez@ctspr.com]",5
021826,SOLDADOR(A),Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Barceloneta,Soldadura,Grado técnico o asociado en Soldadura,"Experiencia soldando acero y aluminio]Capacidad para levantar 50 lb.]Disponibilidad lunes a viernes, 1er turno]Enviar resume a: warren.rodriguez@ctspr.com]",6
021900,QC INSTRUCTOR,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Barceloneta,Calidad,Cuarto año completado,Conocimiento en la industria de ensamblaje y puertas]Capacidad para levantar peso de 50 lb.]Enviar resume a: warren.rodriguez@ctspr.com],7
021859,OPERADOR(A) DE EXTRUSION,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Corozal,"Producción, medidas y computadoras",Cuarto año completado,Capacidad para trabajar en ambiente de calor y polvo]Capacidad para levantar peso de 50 lb.]Disponibilidad completa]Enviar resume a: warren.rodriguez@ctspr.com],8
021861,OPERADOR DE MANUFACTURA,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Corozal,"Producción, medidas y computadoras",Cuarto año completado,"Capacidad para cambiar de área y tareas]Capacidad para levantar 50 lb.]Capacidad para trabajar en ambiente de calor y polvo]Disponibilidad lunes a sábado, 1ro y 2do turno]Enviar resume a: warren.rodriguez@cstpr.com]",9
021836,OFICIAL DE CONTABILIDAD,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,Mínima 2 años,Asociado en Contabilidad o relacionado,"Bilingüe, destrezas de comunicación oral y escrita]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: angel.vazquez@ctspr.com]",10
021475,CHOFER(A),Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Dorado,Conduciendo camiones por toda la isla,Cuarto año completado,Licencia de conducir de PR categoría 8 o 9]Licencia de la comisión]Disponibilidad desde las 4:00 am]Ruta por toda la isla]Disponibilidad para realizar tiempo extra]Trabajo 4 días de la semana entre lunes a sábado]Enviar resume a: anais.galan@ctspr.com],11
021676,HANDYPERSON,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Dorado,Realizando tareas de construcción liviana,Cuarto año completado,Compañía distribuidora de alimentos]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Estipendio adicional de $65 por uso de celular]Enviar resume a: anais.galan@ctspr.com],12
021853,PRODUCCION,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Hatillo,Producción,Cuarto año completado,Capacidad para trabajar en ambiente de calor y polvo]Capacidad para levantar 50 lb.]Disponibilidad completa entre lunes a viernes]Enviar resume a: warren.rodriguez@ctspr.com],13
021877,UTILITY PERSON,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Hatillo,En construcción liviana,Cuarto año completado,Conocimiento básico en construcción]Capacidad para levantar 50 lb.]Capacidad para trabajar en ambiente de calor y polvo]Disponibilidad completa entre lunes a viernes]Enviar resume a: warren.rodriguez@ctspr.com],14
021907,PAYROLL CLERK,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Hatillo,"Procesos de nómina, realizar informes",Asociado en contabilidad o similar,"Conocimiento en Reforma Laboral y licencias como SINOT]Conocimiento en ADP, PYCHEX, KRONOS o similar]Dominio de sistemas computarizados]Disponiblidad lunes a viernes, 8:00 am a 5:00 pm]",15
021869,CUSTOMER SERVICE,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,"Customer Services, MS Office and purchasing",High School diploma,Fully bilingual (English-Spanish)]Availability Monday thru Friday 8:00 am - 5:00 pm]Send your resume to: anais.galan@ctpsr.com],16
021855,VENDEDOR(A) DE PIEZAS,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,En venta de piezas de auto,Cuarto año completado,Excelentes destrezas de negociación y comunicación]Licencia de conducir de PR vigente]Conocimiento de la industria automotríz(piezas de auto)]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: warren.rodriguez@ctspr.com],17
021856,PARTS RUNNER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,Distribución de mercancía,Cuarto año completado,Conocimiento en piezas de auto]Licencia de conducir de PR vigente]Excelentes destrezas de comunicación]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: warren.rodriguez@ctspr.com],18
021857,TECNICO AUTOMOTRIZ,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,Mecanica automotriz,Grado técnico en Mecánica Automotriz,Conocimiento en cambio de aceite y filtro]Licencia de conducir de PR vigente]Capacidad para trabajar en ambiente de calor y polvo]Capacidad para levantar 50 lb.]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: warren.rodriguez@ctspr.com],19
021460,DIRECTOR/A DE FINANZAS,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Mínimo 2 años en institución financiera,CPA o MBA en Contabilidad o Finanzas,"Domino oral y escrito en inglés y español]Conocimientos básicos de cumplimiento y supervisión]Conocimiento de leyes contributivas locales y federales]Manejo de SAGE, Quickbooks, SAP]Excel avanzado (MS Office)]Disponible para viajar a sucursales]Disponible para adiestramientos en PR y el exterior]Plan de retiro 401K, Plan médico, educación continua]Enviar resume a: sonia.lugo@ctspr.com]",20
021723,VENDEDOR (A) DE COUNTER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Dorado,"Ventas industria automotriz, cotizaciones y computadoras",Cuarto año completado,Excelentes destrezas de comunicación y negociación]Conocimiento en caja registradora]Conocimiento de neumáticos]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: warren.rodriguez@ctspr.com],21
021906,RUNNER / SERVICIO AL CLIENTE,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Dorado,Industria automotriz,Cuarto año completado,Conocimiento en manejo auomático y estándar]Licencia de conducir de PR vigente]Destrezas de comunicación y servicio al cliente]Disponibilidad lunes a sábado 8:00 am a 5:00 pm]Enviar resume a: warren.rodriguez@ctspr.com],22
021828,HANDYPERSON,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Aguadilla,Mantenimiento y construcción liviana,Cuarto año completado,Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: anais.galan@ctspr.com],23
